frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.3017268296225593,(110000000-35237223.53232317j)
1503.5035035035035,1.2993771285921816,(110000000-35055009.4174133j)
1507.007007007007,1.2970245577815787,(110000000-34873409.535774946j)
1510.5105105105106,1.2946691178460892,(110000000-34692419.61341913j)
1514.014014014014,1.2923108094966598,(110000000-34512035.41591778j)
1517.5175175175175,1.2899496334997362,(110000000-34332252.74794706j)
1521.021021021021,1.2875855906771507,(110000000-34153067.45283692j)
1524.5245245245246,1.2852186819060114,(110000000-33974475.41212711j)
1528.028028028028,1.2828489081185863,(110000000-33796472.545128964j)
1531.5315315315315,1.280476270302194,(110000000-33619054.80849348j)
1535.035035035035,1.2781007694990882,(110000000-33442218.1957852j)
1538.5385385385384,1.2757224068063429,(110000000-33265958.737061836j)
1542.042042042042,1.2733411833757409,(110000000-33090272.498459846j)
1545.5455455455456,1.2709571004136562,(110000000-32915155.581785396j)
1549.049049049049,1.2685701591809417,(110000000-32740604.12411101j)
1552.5525525525525,1.2661803609928142,(110000000-32566614.29737772j)
1556.0560560560561,1.2637877072187385,(110000000-32393182.308002427j)
1559.5595595595596,1.261392199282314,(110000000-32220304.396490753j)
1563.063063063063,1.2589938386611614,(110000000-32047976.837054968j)
1566.5665665665665,1.2565926268868042,(110000000-31876195.937237024j)
1570.07007007007,1.2541885655445597,(110000000-31704958.037536804j)
1573.5735735735736,1.2517816562734219,(110000000-31534259.51104509j)
1577.077077077077,1.2493719007659498,(110000000-31364096.763081662j)
1580.5805805805805,1.2469593007681534,(110000000-31194466.23083812j)
1584.084084084084,1.2445438580793817,(110000000-31025364.38302526j)
1587.5875875875877,1.2421255745522108,(110000000-30856787.719525512j)
1591.0910910910911,1.2397044520923326,(110000000-30688732.771049596j)
1594.5945945945946,1.237280492658443,(110000000-30521196.098797955j)
1598.098098098098,1.234853698262134,(110000000-30354174.29412643j)
1601.6016016016015,1.2324240709677814,(110000000-30187663.978216507j)
1605.1051051051052,1.22999161289244,(110000000-30021661.80174984j)
1608.6086086086086,1.2275563262057334,(110000000-29856164.444586955j)
1612.112112112112,1.2251182131297478,(110000000-29691168.615450174j)
1615.6156156156155,1.2226772759389262,(110000000-29526671.0516107j)
1619.1191191191192,1.2202335169599647,(110000000-29362668.51857972j)
1622.6226226226227,1.2177869385717075,(110000000-29199157.809803624j)
1626.126126126126,1.2153375432050462,(110000000-29036135.746362887j)
1629.6296296296296,1.2128853333428145,(110000000-28873599.176675223j)
1633.133133133133,1.2104303115196944,(110000000-28711544.97620219j)
1636.6366366366367,1.2079724803221108,(110000000-28549970.047159877j)
1640.1401401401401,1.2055118423881386,(110000000-28388871.318233043j)
1643.6436436436436,1.203048400407404,(110000000-28228245.744293034j)
1647.147147147147,1.2005821571209905,(110000000-28068090.306119353j)
1650.6506506506507,1.1981131153213456,(110000000-27908402.01012462j)
1654.1541541541542,1.195641277852189,(110000000-27749177.888083212j)
1657.6576576576576,1.1931666476084228,(110000000-27590414.996863175j)
1661.161161161161,1.1906892275360417,(110000000-27432110.418161616j)
1664.6646646646645,1.1882090206320461,(110000000-27274261.258243486j)
1668.1681681681682,1.1857260299443586,(110000000-27116864.647683464j)
1671.6716716716717,1.1832402585717376,(110000000-26959917.741111357j)
1675.1751751751751,1.1807517096636992,(110000000-26803417.71696049j)
1678.6786786786788,1.1782603864204326,(110000000-26647361.77721921j)
1682.1821821821823,1.1757662920927272,(110000000-26491747.147185847j)
1685.6856856856857,1.173269429981891,(110000000-26336571.07522619j)
1689.1891891891892,1.1707698034396814,(110000000-26181830.832534425j)
1692.6926926926926,1.16826741586823,(110000000-26027523.712896932j)
1696.1961961961963,1.1657622707199737,(110000000-25873647.032458812j)
1699.6996996996997,1.1632543714975874,(110000000-25720198.12949359j)
1703.2032032032032,1.1607437217539156,(110000000-25567174.36417553j)
1706.7067067067067,1.1582303250919117,(110000000-25414573.118354898j)
1710.2102102102103,1.155714185164576,(110000000-25262391.795335926j)
1713.7137137137138,1.1531953056748947,(110000000-25110627.81965751j)
1717.2172172172172,1.1506736903757868,(110000000-24959278.636876598j)
1720.7207207207207,1.148149343070047,(110000000-24808341.71335418j)
1724.2242242242241,1.1456222676102936,(110000000-24657814.53604398j)
1727.7277277277278,1.1430924678989216,(110000000-24507694.612283636j)
1731.2312312312313,1.1405599478880548,(110000000-24357979.469588466j)
1734.7347347347347,1.1380247115795015,(110000000-24208666.65544771j)
1738.2382382382382,1.1354867630247116,(110000000-24059753.73712316j)
1741.7417417417419,1.1329461063247401,(110000000-23911238.30145044j)
1745.2452452452453,1.1304027456302106,(110000000-23763117.95464242j)
1748.7487487487488,1.1278566851412797,(110000000-23615390.32209516j)
1752.2522522522522,1.1253079291076096,(110000000-23468053.048196137j)
1755.7557557557557,1.1227564818283382,(110000000-23321103.79613472j)
1759.2592592592591,1.1202023476520557,(110000000-23174540.24771505j)
1762.7627627627628,1.1176455309767819,(110000000-23028360.103170905j)
1766.2662662662663,1.1150860362499497,(110000000-22882561.080983065j)
1769.7697697697697,1.1125238679683869,(110000000-22737140.917698633j)
1773.2732732732734,1.1099590306783054,(110000000-22592097.36775255j)
1776.7767767767768,1.1073915289752918,(110000000-22447428.203291263j)
1780.2802802802803,1.104821367504302,(110000000-22303131.21399845j)
1783.7837837837837,1.1022485509596571,(110000000-22159204.20692277j)
1787.2872872872872,1.0996730840850466,(110000000-22015645.00630772j)
1790.7907907907909,1.0970949716735305,(110000000-21872451.45342334j)
1794.2942942942943,1.0945142185675483,(110000000-21729621.406400107j)
1797.7977977977978,1.0919308296589292,(110000000-21587152.740064543j)
1801.3013013013012,1.0893448098889085,(110000000-21445043.345776908j)
1804.804804804805,1.0867561642481454,(110000000-21303291.131270688j)
1808.3083083083084,1.0841648977767453,(110000000-21161894.02049403j)
1811.8118118118118,1.0815710155642866,(110000000-21020849.95345291j)
1815.3153153153153,1.078974522749849,(110000000-20880156.886056237j)
1818.8188188188187,1.0763754245220487,(110000000-20739812.78996262j)
1822.3223223223224,1.0737737261190776,(110000000-20599815.652429037j)
1825.8258258258259,1.0711694328287422,(110000000-20460163.476161156j)
1829.3293293293293,1.0685625499885134,(110000000-20320854.279165387j)
1832.8328328328328,1.0659530829855723,(110000000-20181886.09460264j)
1836.3363363363364,1.0633410372568686,(110000000-20043256.97064376j)
1839.83983983984,1.0607264182891796,(110000000-19904964.9703267j)
1843.3433433433433,1.058109231619169,(110000000-19767008.17141506j)
1846.8468468468468,1.0554894828334611,(110000000-19629384.666258585j)
1850.3503503503503,1.052867177568708,(110000000-19492092.561655004j)
1853.853853853854,1.0502423215116692,(110000000-19355129.978713438j)
1857.3573573573574,1.0476149203992933,(110000000-19218495.052719623j)
1860.8608608608608,1.044984980018803,(110000000-19082185.933002204j)
1864.3643643643643,1.0423525062077892,(110000000-18946200.782800995j)
1867.867867867868,1.0397175048543041,(110000000-18810537.779136375j)
1871.3713713713714,1.0370799818969652,(110000000-18675195.112680398j)
1874.8748748748749,1.0344399433250626,(110000000-18540170.987629175j)
1878.3783783783783,1.031797395178666,(110000000-18405463.62157674j)
1881.8818818818818,1.0291523435487493,(110000000-18271071.24539042j)
1885.3853853853855,1.026504794577306,(110000000-18136992.10308738j)
1888.888888888889,1.0238547544574816,(110000000-18003224.451712824j)
1892.3923923923924,1.0212022294337075,(110000000-17869766.561219264j)
1895.895895895896,1.0185472258018364,(110000000-17736616.71434731j)
1899.3993993993995,1.0158897499092923,(110000000-17603773.206507765j)
1902.902902902903,1.0132298081552196,(110000000-17471234.345664963j)
1906.4064064064064,1.0105674069906376,(110000000-17338998.452221356j)
1909.9099099099099,1.00790255291861,(110000000-17207063.858903542j)
1913.4134134134133,1.0052352524944081,(110000000-17075428.91064935j)
1916.916916916917,1.0025655123256898,(110000000-16944091.964496285j)
1920.4204204204204,0.9998933390726827,(110000000-16813051.389471196j)
1923.923923923924,0.9972187394483696,(110000000-16682305.566480974j)
1927.4274274274276,0.9945417202186877,(110000000-16551852.888204774j)
1930.930930930931,0.991862288202728,(110000000-16421691.75898706j)
1934.4344344344345,0.9891804502729483,(110000000-16291820.59473206j)
1937.937937937938,0.986496213355385,(110000000-16162237.822799208j)
1941.4414414414414,0.9838095844298799,(110000000-16032941.881899817j)
1944.9449449449448,0.9811205705303112,(110000000-15903931.22199488j)
1948.4484484484485,0.9784291787448293,(110000000-15775204.304193815j)
1951.951951951952,0.9757354162161074,(110000000-15646759.60065456j)
1955.4554554554554,0.97303929014159,(110000000-15518595.594484476j)
1958.958958958959,0.9703408077737578,(110000000-15390710.779642472j)
1962.4624624624626,0.9676399764203986,(110000000-15263103.660842208j)
1965.965965965966,0.9649368034448819,(110000000-15135772.753456132j)
1969.4694694694695,0.9622312962664479,(110000000-15008716.583420819j)
1972.972972972973,0.9595234623605011,(110000000-14881933.68714306j)
