frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.4435782532083974,(160000000+1724500535.4421499j)
1503.5035035035035,1.4410759177286885,(160000000+1728871454.9806821j)
1507.007007007007,1.4385689133304982,(160000000+1733241577.9072948j)
1510.5105105105106,1.4360572484374763,(160000000+1737610909.765015j)
1514.014014014014,1.4335409314839132,(160000000+1741979456.045559j)
1517.5175175175175,1.431019970914781,(160000000+1746347222.1899297j)
1521.021021021021,1.428494375185778,(160000000+1750714213.5890002j)
1524.5245245245246,1.425964152763368,(160000000+1755080435.584087j)
1528.028028028028,1.4234293121248227,(160000000+1759445893.467519j)
1531.5315315315315,1.4208898617582557,(160000000+1763810592.4832013j)
1535.035035035035,1.4183458101626651,(160000000+1768174537.827162j)
1538.5385385385384,1.4157971658479647,(160000000+1772537734.6481032j)
1542.042042042042,1.4132439373350212,(160000000+1776900188.0479343j)
1545.5455455455456,1.4106861331556877,(160000000+1781261903.0823028j)
1549.049049049049,1.4081237618528342,(160000000+1785622884.7611213j)
1552.5525525525525,1.4055568319803817,(160000000+1789983138.0490777j)
1556.0560560560561,1.4029853521033298,(160000000+1794342667.8661506j)
1559.5595595595596,1.4004093307977854,(160000000+1798701479.0881057j)
1563.063063063063,1.3978287766509945,(160000000+1803059576.5469937j)
1566.5665665665665,1.3952436982613636,(160000000+1807416965.031642j)
1570.07007007007,1.3926541042384895,(160000000+1811773649.2881315j)
1573.5735735735736,1.3900600032031816,(160000000+1816129634.0202765j)
1577.077077077077,1.3874614037874882,(160000000+1820484923.8900933j)
1580.5805805805805,1.3848583146347182,(160000000+1824839523.5182605j)
1584.084084084084,1.38225074439946,(160000000+1829193437.4845827j)
1587.5875875875877,1.3796387017476084,(160000000+1833546670.328434j)
1591.0910910910911,1.3770221953563797,(160000000+1837899226.5492084j)
1594.5945945945946,1.3744012339143332,(160000000+1842251110.606756j)
1598.098098098098,1.3717758261213882,(160000000+1846602326.9218187j)
1601.6016016016015,1.369145980688842,(160000000+1850952879.8764572j)
1605.1051051051052,1.3665117063393872,(160000000+1855302773.814472j)
1608.6086086086086,1.3638730118071263,(160000000+1859652013.0418205j)
1612.112112112112,1.3612299058375863,(160000000+1864000601.8270292j)
1615.6156156156155,1.3585823971877344,(160000000+1868348544.4015992j)
1619.1191191191192,1.3559304946259898,(160000000+1872695844.9604075j)
1622.6226226226227,1.3532742069322365,(160000000+1877042507.662099j)
1626.126126126126,1.350613542897837,(160000000+1881388536.6294806j)
1629.6296296296296,1.3479485113256393,(160000000+1885733935.9499056j)
1633.133133133133,1.3452791210299924,(160000000+1890078709.6756525j)
1636.6366366366367,1.342605380836751,(160000000+1894422861.8243022j)
1640.1401401401401,1.3399272995832883,(160000000+1898766396.3791065j)
1643.6436436436436,1.3372448861185027,(160000000+1903109317.2893572j)
1647.147147147147,1.3345581493028236,(160000000+1907451628.470744j)
1650.6506506506507,1.331867098008222,(160000000+1911793333.805712j)
1654.1541541541542,1.3291717411182142,(160000000+1916134437.143816j)
1657.6576576576576,1.3264720875278682,(160000000+1920474942.3020642j)
1661.161161161161,1.3237681461438082,(160000000+1924814853.0652642j)
1664.6646646646645,1.32105992588422,(160000000+1929154173.1863618j)
1668.1681681681682,1.3183474356788543,(160000000+1933492906.3867743j)
1671.6716716716717,1.315630684469029,(160000000+1937831056.3567219j)
1675.1751751751751,1.3129096812076342,(160000000+1942168626.7555523j)
1678.6786786786788,1.3101844348591314,(160000000+1946505621.212066j)
1682.1821821821823,1.307454954399558,(160000000+1950842043.3248308j)
1685.6856856856857,1.3047212488165252,(160000000+1955177896.6624985j)
1689.1891891891892,1.3019833271092212,(160000000+1959513184.7641141j)
1692.6926926926926,1.299241198288409,(160000000+1963847911.1394224j)
1696.1961961961963,1.2964948713764268,(160000000+1968182079.2691715j)
1699.6996996996997,1.2937443554071872,(160000000+1972515692.6054084j)
1703.2032032032032,1.290989659426176,(160000000+1976848754.571779j)
1706.7067067067067,1.2882307924904468,(160000000+1981181268.5638163j)
1710.2102102102103,1.2854677636686231,(160000000+1985513237.949229j)
1713.7137137137138,1.2827005820408917,(160000000+1989844666.068186j)
1717.2172172172172,1.2799292566990015,(160000000+1994175556.2335975j)
1720.7207207207207,1.277153796746258,(160000000+1998505911.7313929j)
1724.2242242242241,1.274374211297519,(160000000+2002835735.8207946j)
1727.7277277277278,1.27159050947919,(160000000+2007165031.7345881j)
1731.2312312312313,1.26880270042922,(160000000+2011493802.67939j)
1734.7347347347347,1.2660107932970948,(160000000+2015822051.8359127j)
1738.2382382382382,1.263214797243828,(160000000+2020149782.3592255j)
1741.7417417417419,1.2604147214419608,(160000000+2024476997.3790107j)
1745.2452452452453,1.2576105750755497,(160000000+2028803699.9998212j)
1748.7487487487488,1.2548023673401603,(160000000+2033129893.3013303j)
1752.2522522522522,1.2519901074428617,(160000000+2037455580.3385801j)
1755.7557557557557,1.2491738046022145,(160000000+2041780764.1422305j)
1759.2592592592591,1.2463534680482669,(160000000+2046105447.7187965j)
1762.7627627627628,1.243529107022541,(160000000+2050429634.050894j)
1766.2662662662663,1.2407007307780276,(160000000+2054753326.0974722j)
1769.7697697697697,1.2378683485791746,(160000000+2059076526.7940495j)
1773.2732732732734,1.2350319697018763,(160000000+2063399239.0529478j)
1776.7767767767768,1.232191603433465,(160000000+2067721465.7635152j)
1780.2802802802803,1.2293472590726986,(160000000+2072043209.7923574j)
1783.7837837837837,1.2264989459297508,(160000000+2076364473.9835594j)
1787.2872872872872,1.2236466733262001,(160000000+2080685261.1589036j)
1790.7907907907909,1.2207904505950145,(160000000+2085005574.1180935j)
1794.2942942942943,1.2179302870805448,(160000000+2089325415.6389632j)
1797.7977977977978,1.2150661921385093,(160000000+2093644788.4776945j)
1801.3013013013012,1.2121981751359803,(160000000+2097963695.3690267j)
1804.804804804805,1.2093262454513745,(160000000+2102282139.0264635j)
1808.3083083083084,1.2064504124744357,(160000000+2106600122.1424794j)
1811.8118118118118,1.2035706856062247,(160000000+2110917647.388724j)
1815.3153153153153,1.2006870742591038,(160000000+2115234717.4162216j)
1818.8188188188187,1.1977995878567218,(160000000+2119551334.8555703j)
1822.3223223223224,1.1949082358340024,(160000000+2123867502.317139j)
1825.8258258258259,1.1920130276371264,(160000000+2128183222.391259j)
1829.3293293293293,1.1891139727235194,(160000000+2132498497.64842j)
1832.8328328328328,1.1862110805618342,(160000000+2136813330.6394558j)
1836.3363363363364,1.1833043606319364,(160000000+2141127723.895736j)
1839.83983983984,1.180393822424891,(160000000+2145441679.929345j)
1843.3433433433433,1.177479475442941,(160000000+2149755201.2332726j)
1846.8468468468468,1.174561329199496,(160000000+2154068290.281589j)
1850.3503503503503,1.171639393219113,(160000000+2158380949.529628j)
1853.853853853854,1.1687136770374806,(160000000+2162693181.414163j)
1857.3573573573574,1.1657841902014034,(160000000+2167004988.3535805j)
1860.8608608608608,1.1628509422687807,(160000000+2171316372.748055j)
1864.3643643643643,1.1599139428085938,(160000000+2175627336.9797163j)
1867.867867867868,1.1569732014008842,(160000000+2179937883.4128294j)
1871.3713713713714,1.1540287276367385,(160000000+2184248014.393946j)
1874.8748748748749,1.15108053111827,(160000000+2188557732.252081j)
1878.3783783783783,1.1481286214585968,(160000000+2192867039.2988777j)
1881.8818818818818,1.1451730082818288,(160000000+2197175937.828757j)
1885.3853853853855,1.142213701223044,(160000000+2201484430.1190906j)
1888.888888888889,1.1392507099282716,(160000000+2205792518.4303546j)
1892.3923923923924,1.1362840440544741,(160000000+2210100205.0062823j)
1895.895895895896,1.1333137132695235,(160000000+2214407492.0740232j)
1899.3993993993995,1.1303397272521867,(160000000+2218714381.8442945j)
1902.902902902903,1.1273620956921027,(160000000+2223020876.511533j)
1906.4064064064064,1.1243808282897618,(160000000+2227326978.254043j)
1909.9099099099099,1.1213959347564888,(160000000+2231632689.2341466j)
1913.4134134134133,1.118407424814418,(160000000+2235938011.598328j)
1916.916916916917,1.1154153081964766,(160000000+2240242947.4773803j)
1920.4204204204204,1.1124195946463624,(160000000+2244547498.986545j)
1923.923923923924,1.1094202939185205,(160000000+2248851668.2256594j)
1927.4274274274276,1.1064174157781261,(160000000+2253155457.2792907j)
1930.930930930931,1.1034109700010604,(160000000+2257458868.2168775j)
1934.4344344344345,1.10040096637389,(160000000+2261761903.092866j)
1937.937937937938,1.097387414693845,(160000000+2266064563.946849j)
1941.4414414414414,1.0943703247687955,(160000000+2270366852.8036904j)
1944.9449449449448,1.0913497064172333,(160000000+2274668771.6736712j)
1948.4484484484485,1.0883255694682454,(160000000+2278970322.552611j)
1951.951951951952,1.0852979237614957,(160000000+2283271507.4219966j)
1955.4554554554554,1.0822667791471983,(160000000+2287572328.24912j)
1958.958958958959,1.079232145486096,(160000000+2291872786.9871984j)
1962.4624624624626,1.076194032649442,(160000000+2296172885.5754967j)
1965.965965965966,1.073152450518968,(160000000+2300472625.9394617j)
1969.4694694694695,1.07010740898687,(160000000+2304772009.9908357j)
1972.972972972973,1.0670589179557786,(160000000+2309071039.6277847j)
1976.4764764764764,1.064006987338737,(160000000+2313369716.735012j)
1979.97997997998,1.0609516270591803,(160000000+2317668043.1838856j)
1983.4834834834835,1.0578928470509077,(160000000+2321966020.83255j)
1986.986986986987,1.0548306572580612,(160000000+2326263651.526042j)
1990.4904904904906,1.0517650676350996,(160000000+2330560937.096412j)
1993.993993993994,1.0486960881467755,(160000000+2334857879.362834j)
1997.4974974974975,1.0456237287681112,(160000000+2339154480.131716j)
2001.001001001001,1.0425479994843723,(160000000+2343450741.196818j)
2004.5045045045044,1.0394689102910455,(160000000+2347746664.339358j)
2008.008008008008,1.0363864711938107,(160000000+2352042251.3281245j)
2011.5115115115116,1.0333006922085202,(160000000+2356337503.9195795j)
2015.015015015015,1.0302115833611702,(160000000+2360632423.857972j)
2018.5185185185185,1.0271191546878757,(160000000+2364927012.875442j)
2022.0220220220222,1.0240234162348474,(160000000+2369221272.6921206j)
2025.5255255255256,1.0209243780583657,(160000000+2373515205.0162416j)
2029.029029029029,1.0178220502247521,(160000000+2377808811.5442395j)
2032.5325325325325,1.0147164428103483,(160000000+2382102093.96085j)
2036.036036036036,1.0116075659014863,(160000000+2386395053.9392157j)
2039.5395395395394,1.008495429594464,(160000000+2390687693.140982j)
2043.043043043043,1.00538004399552,(160000000+2394980013.2163944j)
2046.5465465465466,1.0022614192208064,(160000000+2399272015.8044014j)
2050.0500500500502,0.9991395653963622,(160000000+2403563702.5327444j)
2053.5535535535537,0.9960144926580874,(160000000+2407855075.0180597j)
2057.057057057057,0.992886211151717,(160000000+2412146134.865968j)
2060.5605605605606,0.989754731032793,(160000000+2416436883.67117j)
2064.064064064064,0.9866200624666389,(160000000+2420727323.0175414j)
2067.5675675675675,0.9834822156283318,(160000000+2425017454.4782195j)
2071.071071071071,0.9803412007026757,(160000000+2429307279.6156983j)
2074.5745745745744,0.9771970278841762,(160000000+2433596799.981918j)
2078.078078078078,0.9740497073770096,(160000000+2437886017.1183496j)
2081.5815815815818,0.9708992493949989,(160000000+2442174932.556091j)
2085.085085085085,0.9677456641615866,(160000000+2446463547.815945j)
