frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.2928224192499482,(103000000-44534080.34445728j)
1503.5035035035035,1.2904146881971914,(103000000-44378574.979299836j)
1507.007007007007,1.2880039970228834,(103000000-44223672.25000249j)
1510.5105105105106,1.285590347378569,(103000000-44069367.96327396j)
1514.014014014014,1.2831737409718704,(103000000-43915657.96463689j)
1517.5175175175175,1.280754179566378,(103000000-43762538.13797989j)
1521.021021021021,1.2783316649815464,(103000000-43610004.40511548j)
1524.5245245245246,1.2759061990925893,(103000000-43458052.72534451j)
1528.028028028028,1.2734777838303728,(103000000-43306679.09502633j)
1531.5315315315315,1.271046421181307,(103000000-43155879.547154866j)
1535.035035035035,1.2686121131872448,(103000000-43005650.150940664j)
1538.5385385385384,1.2661748619453697,(103000000-42855987.01139837j)
1542.042042042042,1.263734669608094,(103000000-42706886.268940195j)
1545.5455455455456,1.2612915383829506,(103000000-42558344.09897457j)
1549.049049049049,1.2588454705324872,(103000000-42410356.7115104j)
1552.5525525525525,1.2563964683741595,(103000000-42262920.35076675j)
1556.0560560560561,1.2539445342802291,(103000000-42116031.29478763j)
1559.5595595595596,1.2514896706776537,(103000000-41969685.855062135j)
1563.063063063063,1.249031880047987,(103000000-41823880.37614953j)
1566.5665665665665,1.2465711649272702,(103000000-41678611.235309556j)
1570.07007007007,1.2441075279059326,(103000000-41533874.842137516j)
1573.5735735735736,1.2416409716286858,(103000000-41389667.63820432j)
1577.077077077077,1.2391714987944213,(103000000-41245986.09670133j)
1580.5805805805805,1.2366991121561126,(103000000-41102826.72208994j)
1584.084084084084,1.2342238145207083,(103000000-40960186.04975564j)
1587.5875875875877,1.2317456087490377,(103000000-40818060.64566702j)
1591.0910910910911,1.2292644977557101,(103000000-40676447.10603882j)
1594.5945945945946,1.2267804845090151,(103000000-40535342.0569999j)
1598.098098098098,1.2242935720308294,(103000000-40394742.154265106j)
1601.6016016016015,1.2218037633965144,(103000000-40254644.08281181j)
1605.1051051051052,1.2193110617348306,(103000000-40115044.556560524j)
1608.6086086086086,1.2168154702278373,(103000000-39975940.31805974j)
1612.112112112112,1.214316992110801,(103000000-39837328.138174765j)
1615.6156156156155,1.2118156306721082,(103000000-39699204.81578081j)
1619.1191191191192,1.2093113892531715,(103000000-39561567.17745978j)
1622.6226226226227,1.2068042712483442,(103000000-39424412.07720141j)
1626.126126126126,1.204294280104834,(103000000-39287736.39610773j)
1629.6296296296296,1.201781419322615,(103000000-39151537.04210186j)
1633.133133133133,1.199265692454347,(103000000-39015810.94964015j)
1636.6366366366367,1.1967471031052928,(103000000-38880555.079428285j)
1640.1401401401401,1.1942256549332373,(103000000-38745766.4181409j)
1643.6436436436436,1.19170135164841,(103000000-38611441.9781448j)
1647.147147147147,1.1891741970134078,(103000000-38477578.79722572j)
1650.6506506506507,1.1866441948431201,(103000000-38344173.93831858j)
1654.1541541541542,1.1841113490046566,(103000000-38211224.489241175j)
1657.6576576576576,1.1815756634172767,(103000000-38078727.562431164j)
1661.161161161161,1.1790371420523182,(103000000-37946680.294686496j)
1664.6646646646645,1.1764957889331333,(103000000-37815079.84690906j)
1668.1681681681682,1.1739516081350223,(103000000-37683923.4038515j)
1671.6716716716717,1.1714046037851709,(103000000-37553208.1738674j)
1675.1751751751751,1.168854780062592,(103000000-37422931.3886644j)
1678.6786786786788,1.166302141198063,(103000000-37293090.30306049j)
1682.1821821821823,1.1637466914740766,(103000000-37163682.19474341j)
1685.6856856856857,1.1611884352247808,(103000000-37034704.36403293j)
1689.1891891891892,1.1586273768359323,(103000000-36906154.133646116j)
1692.6926926926926,1.1560635207448464,(103000000-36778028.848465696j)
1696.1961961961963,1.1534968714403513,(103000000-36650325.87531094j)
1699.6996996996997,1.150927433462746,(103000000-36523042.60271178j)
1703.2032032032032,1.148355211403756,(103000000-36396176.440685324j)
1706.7067067067067,1.1457802099065,(103000000-36269724.82051544j)
1710.2102102102103,1.1432024336654512,(103000000-36143685.19453486j)
1713.7137137137138,1.140621887426406,(103000000-36018055.035910085j)
1717.2172172172172,1.1380385759864562,(103000000-35892831.83842882j)
1720.7207207207207,1.1354525041939592,(103000000-35768013.11628997j)
1724.2242242242241,1.1328636769485156,(103000000-35643596.4038964j)
1727.7277277277278,1.1302720992009496,(103000000-35519579.25565j)
1731.2312312312313,1.127677775953291,(103000000-35395959.24574935j)
1734.7347347347347,1.125080712258761,(103000000-35272733.96798985j)
1738.2382382382382,1.1224809132217581,(103000000-35149901.035566114j)
1741.7417417417419,1.119878383997856,(103000000-35027458.080877006j)
1745.2452452452453,1.1172731297937946,(103000000-34905402.755332775j)
1748.7487487487488,1.1146651558674792,(103000000-34783732.72916466j)
1752.2522522522522,1.112054467527985,(103000000-34662445.69123674j)
1755.7557557557557,1.1094410701355613,(103000000-34541539.34885998j)
1759.2592592592591,1.1068249691016412,(103000000-34421011.42760865j)
1762.7627627627628,1.1042061698888535,(103000000-34300859.671138704j)
1766.2662662662663,1.1015846780110434,(103000000-34181081.84100853j)
1769.7697697697697,1.0989604990332882,(103000000-34061675.71650177j)
1773.2732732732734,1.096333638571924,(103000000-33942639.09445215j)
1776.7767767767768,1.093704102294575,(103000000-33823969.7890705j)
1780.2802802802803,1.0910718959201835,(103000000-33705665.631773695j)
1783.7837837837837,1.0884370252190476,(103000000-33587724.47101581j)
1787.2872872872872,1.0857994960128623,(103000000-33470144.17212104j)
1790.7907907907909,1.0831593141747617,(103000000-33352922.617118683j)
1794.2942942942943,1.08051648562937,(103000000-33236057.704580076j)
1797.7977977977978,1.0778710163528558,(103000000-33119547.349457424j)
1801.3013013013012,1.0752229123729855,(103000000-33003389.482924446j)
1804.804804804805,1.0725721797691905,(103000000-32887582.05221897j)
1808.3083083083084,1.0699188246726306,(103000000-32772123.02048734j)
1811.8118118118118,1.0672628532662662,(103000000-32657010.36663049j)
1815.3153153153153,1.0646042717849353,(103000000-32542242.085152067j)
1818.8188188188187,1.061943086515434,(103000000-32427816.186008055j)
1822.3223223223224,1.0592793037966013,(103000000-32313730.694458254j)
1825.8258258258259,1.0566129300194111,(103000000-32199983.650919486j)
1829.3293293293293,1.0539439716270693,(103000000-32086573.11082042j)
1832.8328328328328,1.0512724351151108,(103000000-31973497.14445809j)
1836.3363363363364,1.0485983270315107,(103000000-31860753.83685606j)
1839.83983983984,1.0459216539767935,(103000000-31748341.28762429j)
1843.3433433433433,1.0432424226041492,(103000000-31636257.610820346j)
1846.8468468468468,1.0405606396195597,(103000000-31524500.934812564j)
1850.3503503503503,1.037876311781922,(103000000-31413069.402144432j)
1853.853853853854,1.035189445903187,(103000000-31301961.169400647j)
1857.3573573573574,1.0325000488484977,(103000000-31191174.40707483j)
1860.8608608608608,1.0298081275363324,(103000000-31080707.29943837j)
