frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.4547563987012089,(130000000+248391828.04379678j)
1503.5035035035035,1.4524212896140452,(130000000+249254360.6135158j)
1507.007007007007,1.450079890147009,(130000000+250116237.48921734j)
1510.5105105105106,1.447732226087911,(130000000+250977463.23338488j)
1514.014014014014,1.44537832301242,(130000000+251838042.3662702j)
1517.5175175175175,1.443018206287187,(130000000+252697979.36638165j)
1521.021021021021,1.4406519010729362,(130000000+253557278.6709644j)
1524.5245245245246,1.4382794323275083,(130000000+254415944.67647484j)
1528.028028028028,1.4359008248088678,(130000000+255273981.73904794j)
1531.5315315315315,1.4335161030780668,(130000000+256131394.17495906j)
1535.035035035035,1.4311252915021722,(130000000+256988186.2610778j)
1538.5385385385384,1.428728414257146,(130000000+257844362.23531768j)
1542.042042042042,1.4263254953306952,(130000000+258699926.297078j)
1545.5455455455456,1.4239165585250773,(130000000+259554882.60768056j)
1549.049049049049,1.4215016274598669,(130000000+260409235.2908007j)
1552.5525525525525,1.4190807255746856,(130000000+261262988.43289116j)
1556.0560560560561,1.4166538761318943,(130000000+262116146.08360195j)
1559.5595595595596,1.4142211022192457,(130000000+262968712.25619337j)
1563.063063063063,1.4117824267525019,(130000000+263820690.9279437j)
1566.5665665665665,1.4093378724780123,(130000000+264672086.04055202j)
1570.07007007007,1.4068874619752594,(130000000+265522901.50053468j)
1573.5735735735736,1.4044312176593636,(130000000+266373141.17961726j)
1577.077077077077,1.401969161783556,(130000000+267222808.91512093j)
1580.5805805805805,1.3995013164416141,(130000000+268071908.51034358j)
1584.084084084084,1.3970277035702634,(130000000+268920443.7349364j)
1587.5875875875877,1.3945483449515441,(130000000+269768418.3252751j)
1591.0910910910911,1.392063262215144,(130000000+270615835.98482585j)
1594.5945945945946,1.3895724768406972,(130000000+271462700.3845072j)
1598.098098098098,1.3870760101600512,(130000000+272309015.16304666j)
1601.6016016016015,1.3845738833594967,(130000000+273154783.9273331j)
1605.1051051051052,1.3820661174819733,(130000000+274000010.252764j)
1608.6086086086086,1.379552733429234,(130000000+274844697.6835881j)
1612.112112112112,1.3770337519639828,(130000000+275688849.73324424j)
1615.6156156156155,1.3745091937119809,(130000000+276532469.88469553j)
1619.1191191191192,1.371979079164122,(130000000+277375561.59075886j)
1622.6226226226227,1.3694434286784751,(130000000+278218128.2744299j)
1626.126126126126,1.3669022624823002,(130000000+279060173.32920563j)
1629.6296296296296,1.3643556006740307,(130000000+279901700.11939985j)
1633.133133133133,1.3618034632252327,(130000000+280742711.98045754j)
1636.6366366366367,1.3592458699825265,(130000000+281583212.2192629j)
1640.1401401401401,1.3566828406694886,(130000000+282423204.1144449j)
1643.6436436436436,1.3541143948885195,(130000000+283262690.91667855j)
1647.147147147147,1.351540552122685,(130000000+284101675.8489816j)
1650.6506506506507,1.348961331737534,(130000000+284940162.1070087j)
1654.1541541541542,1.3463767529828832,(130000000+285778152.8593406j)
1657.6576576576576,1.3437868349945794,(130000000+286615651.2477706j)
1661.161161161161,1.3411915967962353,(130000000+287452660.3875872j)
1664.6646646646645,1.3385910573009363,(130000000+288289183.3678525j)
1668.1681681681682,1.3359852353129265,(130000000+289125223.251678j)
1671.6716716716717,1.3333741495292653,(130000000+289960783.07649636j)
1675.1751751751751,1.3307578185414628,(130000000+290795865.8543301j)
1678.6786786786788,1.3281362608370864,(130000000+291630474.5720566j)
1682.1821821821823,1.325509494801348,(130000000+292464612.19166994j)
1685.6856856856857,1.3228775387186653,(130000000+293298281.65053946j)
1689.1891891891892,1.3202404107741972,(130000000+294131485.86166567j)
1692.6926926926926,1.3175981290553629,(130000000+294964227.7139313j)
1696.1961961961963,1.3149507115533294,(130000000+295796510.0723517j)
1699.6996996996997,1.312298176164485,(130000000+296628335.7783198j)
1703.2032032032032,1.3096405406918852,(130000000+297459707.6498494j)
1706.7067067067067,1.3069778228466769,(130000000+298290628.48181564j)
1710.2102102102103,1.3043100402495071,(130000000+299121101.0461911j)
1713.7137137137138,1.301637210431902,(130000000+299951128.0922805j)
1717.2172172172172,1.2989593508376331,(130000000+300780712.3469517j)
1720.7207207207207,1.2962764788240555,(130000000+301609856.51486456j)
1724.2242242242241,1.2935886116634325,(130000000+302438563.27869594j)
1727.7277277277278,1.2908957665442362,(130000000+303266835.2993628j)
1731.2312312312313,1.288197960572431,(130000000+304094675.21624255j)
1734.7347347347347,1.2854952107727355,(130000000+304922085.6473904j)
1738.2382382382382,1.282787534089866,(130000000+305749069.1897546j)
1741.7417417417419,1.2800749473897635,(130000000+306575628.4193879j)
1745.2452452452453,1.2773574674607986,(130000000+307401765.8916582j)
1748.7487487487488,1.2746351110149616,(130000000+308227484.141455j)
1752.2522522522522,1.2719078946890325,(130000000+309052785.6833948j)
1755.7557557557557,1.2691758350457332,(130000000+309877673.0120231j)
1759.2592592592591,1.2664389485748655,(130000000+310702148.60201377j)
1762.7627627627628,1.2636972516944258,(130000000+311526214.90836734j)
1766.2662662662663,1.2609507607517123,(130000000+312349874.3666055j)
1769.7697697697697,1.2581994920244044,(130000000+313173129.3929643j)
1773.2732732732734,1.2554434617216355,(130000000+313995982.3845844j)
1776.7767767767768,1.2526826859850428,(130000000+314818435.71969956j)
1780.2802802802803,1.2499171808898069,(130000000+315640491.7578223j)
1783.7837837837837,1.2471469624456708,(130000000+316462152.8399282j)
1787.2872872872872,1.244372046597947,(130000000+317283421.2886375j)
1790.7907907907909,1.241592449228507,(130000000+318104299.4083942j)
1794.2942942942943,1.2388081861567586,(130000000+318924789.4856442j)
1797.7977977977978,1.2360192731406048,(130000000+319744893.78901005j)
1801.3013013013012,1.233225725877393,(130000000+320564614.56946486j)
1804.804804804805,1.2304275600048458,(130000000+321383954.06050295j)
1808.3083083083084,1.227624791101979,(130000000+322202914.47830963j)
1811.8118118118118,1.224817434690008,(130000000+323021498.0219287j)
1815.3153153153153,1.222005506233237,(130000000+323839706.8734273j)
1818.8188188188187,1.219189021139936,(130000000+324657543.19806j)
1822.3223223223224,1.2163679947632084,(130000000+325475009.14442974j)
1825.8258258258259,1.2135424424018393,(130000000+326292106.84464836j)
1829.3293293293293,1.210712379301135,(130000000+327108838.414494j)
1832.8328328328328,1.2078778206537488,(130000000+327925205.9535674j)
1836.3363363363364,1.2050387816004962,(130000000+328741211.5454462j)
1839.83983983984,1.2021952772311553,(130000000+329556857.25783736j)
1843.3433433433433,1.1993473225852538,(130000000+330372145.14272827j)
1846.8468468468468,1.1964949326528516,(130000000+331187077.2365353j)
1850.3503503503503,1.193638122375302,(130000000+332001655.56025237j)
1853.853853853854,1.190776906646009,(130000000+332815882.11959517j)
1857.3573573573574,1.1879113003111699,(130000000+333629758.90514624j)
1860.8608608608608,1.1850413181705057,(130000000+334443287.8924973j)
1864.3643643643643,1.182166974977985,(130000000+335256471.04238975j)
1867.867867867868,1.1792882854425317,(130000000+336069310.3008544j)
1871.3713713713714,1.1764052642287264,(130000000+336881807.59934884j)
1874.8748748748749,1.1735179259574946,(130000000+337693964.8548937j)
1878.3783783783783,1.1706262852067857,(130000000+338505783.97020733j)
1881.8818818818818,1.1677303565122426,(130000000+339317266.83383894j)
1885.3853853853855,1.1648301543678592,(130000000+340128415.3203j)
1888.888888888889,1.1619256932266304,(130000000+340939231.2901951j)
1892.3923923923924,1.159016987501192,(130000000+341749716.5903496j)
1895.895895895896,1.1561040515644465,(130000000+342559873.0539381j)
1899.3993993993995,1.15318689975019,(130000000+343369702.5006096j)
1902.902902902903,1.1502655463537175,(130000000+344179206.73661184j)
1906.4064064064064,1.1473400056324263,(130000000+344988387.5549156j)
1909.9099099099099,1.1444102918064127,(130000000+345797246.735335j)
1913.4134134134133,1.1414764190590498,(130000000+346605786.0446491j)
1916.916916916917,1.1385384015375684,(130000000+347414007.23672014j)
1920.4204204204204,1.1355962533536228,(130000000+348221912.05261207j)
1923.923923923924,1.1326499885838455,(130000000+349029502.22070676j)
