frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.2199315811604539,(61000000-49085178.080251485j)
1503.5035035035035,1.2173594269653851,(61000000-48952172.308253065j)
1507.007007007007,1.2147859968327155,(61000000-48819741.609435655j)
1510.5105105105106,1.2122112941854557,(61000000-48687881.982296j)
1514.014014014014,1.2096353224476506,(61000000-48556589.462369554j)
1517.5175175175175,1.2070580850452266,(61000000-48425860.12180295j)
1521.021021021021,1.2044795854068342,(61000000-48295690.06893227j)
1524.5245245245246,1.2018998269646843,(61000000-48166075.44786731j)
1528.028028028028,1.1993188131553798,(61000000-48037012.43808141j)
1531.5315315315315,1.1967365474207377,(61000000-47908497.25400694j)
1535.035035035035,1.194153033208613,(61000000-47780526.14463646j)
1538.5385385385384,1.19156827397371,(61000000-47653095.39312908j)
1542.042042042042,1.1889822731783934,(61000000-47526201.316422455j)
1545.5455455455456,1.1863950342934912,(61000000-47399840.26484989j)
1549.049049049049,1.1838065607990933,(61000000-47274008.62176261j)
1552.5525525525525,1.1812168561853489,(61000000-47148702.803157374j)
1556.0560560560561,1.1786259239532515,(61000000-47023919.25730881j)
1559.5595595595596,1.1760337676154284,(61000000-46899654.46440693j)
1563.063063063063,1.1734403906969184,(61000000-46775904.936199486j)
1566.5665665665665,1.170845796735949,(61000000-46652667.215638965j)
1570.07007007007,1.168249989284709,(61000000-46529937.87653459j)
1573.5735735735736,1.1656529719101147,(61000000-46407713.52320867j)
1577.077077077077,1.1630547481945768,(61000000-46285990.79015775j)
1580.5805805805805,1.1604553217367573,(61000000-46164766.34171824j)
1584.084084084084,1.1578546961523282,(61000000-46044036.87173627j)
1587.5875875875877,1.1552528750747237,(61000000-45923799.10324226j)
1591.0910910910911,1.1526498621558894,(61000000-45804049.78812947j)
1594.5945945945946,1.1500456610670295,(61000000-45684785.70683704j)
1598.098098098098,1.1474402754993487,(61000000-45566003.66803698j)
1601.6016016016015,1.1448337091647913,(61000000-45447700.50832541j)
1605.1051051051052,1.1422259657967815,(61000000-45329873.091917865j)
1608.6086086086086,1.1396170491509545,(61000000-45212518.310348436j)
1612.112112112112,1.1370069630058885,(61000000-45095633.082173005j)
1615.6156156156155,1.134395711163836,(61000000-44979214.35267615j)
1619.1191191191192,1.1317832974514475,(61000000-44863259.09358206j)
1622.6226226226227,1.129169725720498,(61000000-44747764.3027691j)
1626.126126126126,1.12655499984861,(61000000-44632727.003987946j)
1629.6296296296296,1.12393912373997,(61000000-44518144.24658363j)
1633.133133133133,1.1213221013260528,(61000000-44404013.1052209j)
1636.6366366366367,1.118703936566334,(61000000-44290330.67961324j)
1640.1401401401401,1.1160846334490073,(61000000-44177094.09425538j)
1643.6436436436436,1.1134641959916975,(61000000-44064300.49815909j)
1647.147147147147,1.110842628242175,(61000000-43951947.06459255j)
1650.6506506506507,1.1082199342790655,(61000000-43840030.99082282j)
1654.1541541541542,1.1055961182125615,(61000000-43728549.49786182j)
1657.6576576576576,1.1029711841851328,(61000000-43617499.83021528j)
1661.161161161161,1.100345136372235,(61000000-43506879.255635045j)
1664.6646646646645,1.0977179789830176,(61000000-43396685.06487446j)
