frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.4435782532083974,(160000000+1718347980.3481166j)
1503.5035035035035,1.4410759177286885,(160000000+1722704529.5544305j)
1507.007007007007,1.4385689133304982,(160000000+1727060282.148825j)
1510.5105105105106,1.4360572484374763,(160000000+1731415243.6743267j)
1514.014014014014,1.4335409314839132,(160000000+1735769419.6226523j)
1517.5175175175175,1.431019970914781,(160000000+1740122815.4348052j)
1521.021021021021,1.428494375185778,(160000000+1744475436.5016572j)
1524.5245245245246,1.425964152763368,(160000000+1748827288.1645255j)
1528.028028028028,1.4234293121248227,(160000000+1753178375.7157395j)
1531.5315315315315,1.4208898617582557,(160000000+1757528704.3992033j)
1535.035035035035,1.4183458101626651,(160000000+1761878279.410946j)
1538.5385385385384,1.4157971658479647,(160000000+1766227105.8996687j)
1542.042042042042,1.4132439373350212,(160000000+1770575188.9672813j)
1545.5455455455456,1.4106861331556877,(160000000+1774922533.6694317j)
1549.049049049049,1.4081237618528342,(160000000+1779269145.0160317j)
1552.5525525525525,1.4055568319803817,(160000000+1783615027.97177j)
1556.0560560560561,1.4029853521033298,(160000000+1787960187.4566245j)
1559.5595595595596,1.4004093307977854,(160000000+1792304628.3463614j)
1563.063063063063,1.3978287766509945,(160000000+1796648355.4730313j)
1566.5665665665665,1.3952436982613636,(160000000+1800991373.625461j)
1570.07007007007,1.3926541042384895,(160000000+1805333687.5497324j)
1573.5735735735736,1.3900600032031816,(160000000+1809675301.949659j)
1577.077077077077,1.3874614037874882,(160000000+1814016221.4872575j)
1580.5805805805805,1.3848583146347182,(160000000+1818356450.7832065j)
1584.084084084084,1.38225074439946,(160000000+1822695994.4173102j)
1587.5875875875877,1.3796387017476084,(160000000+1827034856.9289434j)
1591.0910910910911,1.3770221953563797,(160000000+1831373042.8174994j)
1594.5945945945946,1.3744012339143332,(160000000+1835710556.5428286j)
1598.098098098098,1.3717758261213882,(160000000+1840047402.5256732j)
1601.6016016016015,1.369145980688842,(160000000+1844383585.1480935j)
1605.1051051051052,1.3665117063393872,(160000000+1848719108.7538898j)
1608.6086086086086,1.3638730118071263,(160000000+1853053977.6490202j)
1612.112112112112,1.3612299058375863,(160000000+1857388196.1020105j)
1615.6156156156155,1.3585823971877344,(160000000+1861721768.3443623j)
1619.1191191191192,1.3559304946259898,(160000000+1866054698.5709522j)
1622.6226226226227,1.3532742069322365,(160000000+1870386990.9404252j)
1626.126126126126,1.350613542897837,(160000000+1874718649.5755887j)
1629.6296296296296,1.3479485113256393,(160000000+1879049678.5637953j)
1633.133133133133,1.3452791210299924,(160000000+1883380081.957324j)
1636.6366366366367,1.342605380836751,(160000000+1887709863.7737553j)
